model,oof_auc,train_auc_retrained,val_auc_retrained,train_logloss_retrained,val_logloss_retrained,train_brier_retrained,val_brier_retrained
logistic,0.7754901209007489,0.7988778979117144,0.7699225235196459,0.5423696350519318,0.5676397207000007,0.18340467296465443,0.1949119325106148
svm,0.7688316335659332,0.7993060348132812,0.7485473159933592,0.5402943995122198,0.5824898072010871,0.1813007662726108,0.20081748051112547
gbm,0.7754326099736728,0.8929913350203205,0.7464374654122856,0.4406836820333221,0.5913402150980792,0.13957265613292166,0.20140772357471926
mlp,0.7095442578534366,0.7691639189223731,0.7283480907581629,0.6072861967429917,0.6239603985592621,0.2085997969613505,0.21655402399983892
dt,0.6981762646013855,0.7845448968637375,0.7257194244604318,0.5341707023293829,0.6002734742739069,0.18016696483908698,0.20704963331541132
rf,0.7743271221532091,0.9580937044705161,0.7599612617598229,0.3876594670721829,0.5737532530850444,0.11465219119197441,0.19640121978914632
xgb,0.7542621987066431,0.9636914347059274,0.7453652462645267,0.3164926185328563,0.622072503197798,0.0918425696605191,0.20986094533564456
knn,0.7556680213685044,0.8060731538992408,0.715100996126176,0.5333202612183118,0.6146878557556021,0.17960387694900967,0.21372115375642714
ada,0.7594701326585385,0.8325537407663012,0.7616214720531268,0.5935589295485445,0.6150766185921146,0.20168808963593587,0.21230440861808986
lgb,0.716598931574777,1.0,0.7208079690094078,0.07263396229362651,0.8241997320664605,0.008568921699812592,0.2459301661901706
cat,0.756856580528078,0.9975334202387343,0.7261344770337577,0.17341722205719085,0.6958106901889839,0.03890491744312353,0.22989244641415021
tabnet,0.6530685274646627,0.7095186974414027,0.6974612617598228,1.2972975782377902,1.3647637130173944,0.2792551294262119,0.29344481785712273
node,0.7647547478465353,0.8230963883137796,0.7677089097952406,0.5265831686635415,0.5766098195059622,0.17383967219485183,0.19625774785877084
